gaussWindow,mgp,minArea,residualConnections,winSize,maxLevel,diffMethod,realFps,avNbBoxes,avNbFilteredBoxes,avNbHeliBox,percentHeliTotalFiltered,percentFrameWithHeli
5,125,25,1,3,7,0,147.18052880871394,11.260204081632653,2.6341107871720117,0.5561224489795918,0.21112340896513557,0.43522561863173215
5,125,25,2,3,7,0,133.40759106670146,16.292487235594457,4.735959153902261,0.7337709700948213,0.15493608501463113,0.648471615720524
5,125,25,3,3,7,0,117.48631613618117,15.822627737226277,6.486861313868613,1.0204379562043795,0.15730842804095868,0.8791848617176128
5,125,25,4,3,7,0,118.06755887588342,27.390065741417093,10.100803506208912,0.8005843681519357,0.07925947353196412,0.7292576419213974
5,125,25,5,3,7,0,117.40939502459317,40.41447368421053,16.448830409356724,0.6549707602339181,0.03981868278375256,0.62372634643377
5,150,25,1,3,7,0,118.95812422951022,10.966472303206997,2.489067055393586,0.5502915451895044,0.22108345534407028,0.42503639010189226
5,150,25,2,3,7,0,119.06897421298788,16.36980306345733,4.326039387308534,0.7228300510576222,0.16708818074523688,0.6557496360989811
5,150,25,3,3,7,0,118.77086161776978,20.73795620437956,6.443065693430657,0.6912408759124088,0.10728446810921038,0.6637554585152838
5,150,25,4,3,7,0,118.61699831657097,29.7136596055515,11.697589481373265,0.7107377647918188,0.0607593355813663,0.6746724890829694
5,150,25,5,3,7,0,118.24152647573213,33.45979532163743,12.323099415204679,0.6118421052631579,0.0496500177957053,0.5938864628820961
5,175,25,1,3,7,0,118.41162950431719,10.927842565597668,2.566326530612245,0.5349854227405247,0.20846350468616867,0.40975254730713245
5,175,25,2,3,7,0,118.15215193850791,16.4872355944566,4.110867979576951,0.7089715536105032,0.17246273953158267,0.6477438136826783
5,175,25,3,3,7,0,118.38315492141778,21.91824817518248,5.757664233576643,0.7218978102189781,0.12538032454361056,0.6979621542940321
5,175,25,4,3,7,0,118.19987271577025,23.41417092768444,7.293644996347699,0.6734842951059167,0.09233850776164246,0.6542940320232896
5,175,25,5,3,7,0,115.3430422961425,27.853070175438596,9.68421052631579,0.6769005847953217,0.06989734299516909,0.6499272197962155
7,125,25,1,3,7,0,108.21737704863804,4.988338192419825,0.6865889212827988,0.3177842565597668,0.4628450106157113,0.259825327510917
7,125,25,2,3,7,0,106.25217492170282,7.1320204230488695,1.2720641867250182,0.49817651349380015,0.3916284403669725,0.43377001455604075
7,125,25,3,3,7,0,107.49538567842264,4.975912408759124,1.9226277372262774,0.6445255474452555,0.33523158694001515,0.5902474526928675
7,125,25,4,3,7,0,107.40346800639074,10.031409788166545,2.810080350620891,0.6296566837107378,0.2240707044450221,0.5815138282387191
7,125,25,5,3,7,0,106.34423877764495,14.46856725146199,4.584795321637427,0.6257309941520468,0.1364795918367347,0.5924308588064047
7,150,25,1,3,7,0,107.23134976407933,4.902332361516035,0.673469387755102,0.31341107871720114,0.4653679653679654,0.2590975254730713
7,150,25,2,3,7,0,106.09005563242066,7.803063457330416,1.1721371261852662,0.49525893508388036,0.4225264467952707,0.43522561863173215
7,150,25,3,3,7,0,106.7789062700356,9.802189781021898,1.9226277372262774,0.5678832116788322,0.2953682611996963,0.5356622998544396
7,150,25,4,3,7,0,106.46455241806258,11.622352081811542,3.4404674945215485,0.6223520818115412,0.18089171974522292,0.5815138282387191
7,150,25,5,3,7,0,106.84207636922321,13.898391812865498,3.7945906432748537,0.5869883040935673,0.15469081101907148,0.5676855895196506
7,175,25,1,3,7,0,105.4438495385335,4.7776967930029155,0.7325072886297376,0.30247813411078717,0.4129353233830846,0.2540029112081514
7,175,25,2,3,7,0,105.34941156526453,8.166301969365426,1.161196207148067,0.4894237782640408,0.4214824120603015,0.42503639010189226
7,175,25,3,3,7,0,105.69765761990107,10.53138686131387,1.7197080291970803,0.57007299270073,0.3314940577249576,0.5422125181950509
7,175,25,4,3,7,0,106.81390297224067,10.691015339663988,2.1197954711468223,0.6018991964937911,0.28394210889042043,0.5669577874818049
7,175,25,5,3,7,0,103.04386631385766,11.576754385964913,2.9137426900584797,0.6301169590643275,0.21625689914701454,0.6011644832605532
9,125,25,1,3,7,0,103.39784586316055,3.3549562682215743,0.2259475218658892,0.13411078717201166,0.5935483870967743,0.12736535662299855
9,125,25,2,3,7,0,100.7382559832402,5.4208606856309265,0.7490882567469,0.47921225382932164,0.6397273612463485,0.3500727802037846
9,125,25,3,3,7,0,101.41981840685557,3.0905109489051097,1.0956204379562045,0.4678832116788321,0.42704863424383743,0.43231441048034935
9,125,25,4,3,7,0,101.94217652779159,7.003652300949598,1.5346968590211834,0.5441928414901388,0.3545930509281295,0.5058224163027657
9,125,25,5,3,7,0,102.81136710609422,9.483187134502923,2.334795321637427,0.5694444444444444,0.2438948027551659,0.5327510917030568
9,150,25,1,3,7,0,102.43941498892924,3.196793002915452,0.2303206997084548,0.1326530612244898,0.5759493670886077,0.12518195050946143
9,150,25,2,3,7,0,101.08044252340925,5.901531728665208,0.7184536834427425,0.48577680525164113,0.6761421319796954,0.3551673944687045
9,150,25,3,3,7,0,102.96656876349516,7.244525547445256,1.0956204379562045,0.4686131386861314,0.42771485676215854,0.4359534206695779
9,150,25,4,3,7,0,102.34598753822145,8.094229364499634,1.8013148283418554,0.5427319211102994,0.3012976480129764,0.5109170305676856
9,150,25,5,3,7,0,102.5549391063255,9.929093567251462,2.2046783625730995,0.5321637426900585,0.2413793103448276,0.5160116448326055
9,175,25,1,3,7,0,101.07337124933382,3.1537900874635567,0.28352769679300294,0.13411078717201166,0.47300771208226217,0.12663755458515283
9,175,25,2,3,7,0,100.7049197798095,6.312180889861415,0.7067833698030634,0.48577680525164113,0.6873065015479877,0.3551673944687045
9,175,25,3,3,7,0,102.46609949368771,7.98029197080292,1.0386861313868614,0.46058394160583943,0.44342937456078707,0.43013100436681223
9,175,25,4,3,7,0,102.36690309646471,8.172388604821037,1.3425858290723156,0.5434623813002192,0.40478781284004356,0.507278020378457
9,175,25,5,3,7,0,102.27098147987152,8.56578947368421,1.760233918128655,0.560672514619883,0.31852159468438535,0.5305676855895196
11,125,25,1,3,7,0,98.48285513121837,2.1581632653061225,0.07725947521865889,0.06268221574344024,0.8113207547169812,0.06259097525473072
11,125,25,2,3,7,0,97.91812106670604,4.49744711889132,0.5433989788475565,0.44638949671772427,0.8214765100671141,0.29694323144104806
11,125,25,3,3,7,0,98.85686497253053,1.9708029197080292,0.6416058394160584,0.4248175182481752,0.6621160409556314,0.3508005822416303
11,125,25,4,3,7,0,98.69847314755033,5.27027027027027,0.8933528122717312,0.44558071585098613,0.4987735077677841,0.42358078602620086
11,125,25,5,3,7,0,98.26493728959127,7.125,1.3808479532163742,0.4992690058479532,0.36156696664902066,0.47161572052401746
11,150,25,1,3,7,0,96.41193240106129,2.0065597667638486,0.0794460641399417,0.06268221574344024,0.7889908256880734,0.06259097525473072
11,150,25,2,3,7,0,97.33893487968581,4.49963530269876,0.5441283734500365,0.4566010211524435,0.839142091152815,0.3027656477438137
11,150,25,3,3,7,0,98.1730453543036,5.395620437956205,0.6649635036496351,0.445985401459854,0.6706915477497255,0.3551673944687045
11,150,25,4,3,7,0,94.66478503756241,6.147552958363769,1.016800584368152,0.464572680788897,0.4568965517241379,0.438136826783115
11,150,25,5,3,7,0,99.34332184402028,7.597953216374269,1.5562865497076024,0.45394736842105265,0.29168623767026775,0.44250363901018924
11,175,25,1,3,7,0,98.32549675307598,1.9088921282798834,0.11224489795918367,0.060495626822157436,0.538961038961039,0.05967976710334789
11,175,25,2,3,7,0,99.60177412941779,5.048140043763676,0.5390226112326769,0.44638949671772427,0.828146143437077,0.3005822416302766
11,175,25,3,3,7,0,98.75566425546639,5.887591240875913,0.6233576642335766,0.4226277372262774,0.6779859484777518,0.3500727802037846
11,175,25,4,3,7,0,99.37395852619885,6.643535427319211,0.870708546384222,0.4616508400292184,0.5302013422818792,0.43377001455604075
11,175,25,5,3,7,0,98.78943398831063,6.836988304093567,1.233187134502924,0.47733918128654973,0.3870776526378186,0.45924308588064044
